name,pred,sp,exp_tm
P61500_recA,70.78131252608902,T.thermophilus,72.06
Q72G97_recG,84.20811948395554,T.thermophilus,72.153
P62662_rpsB,68.63821942875956,T.thermophilus,72.216
Q746P0_TT_P0013,81.66585611558241,T.thermophilus,72.228
Q746N8_cbiX,81.77836726566537,T.thermophilus,72.234
Q72H90_soj,73.8971655938845,T.thermophilus,72.258
Q72LP8_TT_C0010,79.4872978941635,T.thermophilus,72.269
Q72JA0_minD,54.00825893456296,T.thermophilus,72.273
Q72L65_hflX,78.97452665101116,T.thermophilus,72.276
Q72L52_TT_C0211,67.67543951347405,T.thermophilus,72.283
Q72JN6_TT_C0734,84.2790976363993,T.thermophilus,72.316
Q72I41_TT_C1291,75.39085650061843,T.thermophilus,72.328
Q72JQ4_TT_C0714,82.18677108376204,T.thermophilus,72.33
Q72JG1_rimO,73.53082172034054,T.thermophilus,72.356
Q72KY6_TT_C0279,56.23808469944413,T.thermophilus,72.378
Q72LK3_TT_C0056,83.52256953349621,T.thermophilus,72.379
Q72LH6_livF,78.57500109000307,T.thermophilus,72.441
Q72J57_TT_C0922,60.06896680469112,T.thermophilus,72.471
Q72GX5_pstB,75.58288473835758,T.thermophilus,72.472
Q72HC1_rlmN,73.10766338866502,T.thermophilus,72.512
Q72IH8_TT_C1154,76.59424756226178,T.thermophilus,72.547
Q72IZ8_TT_C0983,84.09763628108527,T.thermophilus,72.562
Q72I16_rplE,71.89946194042464,T.thermophilus,72.567
P61941_rpsL,54.35179438999738,T.thermophilus,72.573
P62663_rpsC,48.53053798381511,T.thermophilus,72.621
Q72KA4_TT_C0543,76.3278040410747,T.thermophilus,72.621
Q72LA0_TT_C0159,77.33471176834634,T.thermophilus,72.623
Q72J11_livF,85.75947514952244,T.thermophilus,72.658
P61537_ruvB,73.23897297068596,T.thermophilus,72.665
Q72L33_TT_C0230,80.9927532899442,T.thermophilus,72.691
Q72J12_livG,71.43775265159785,T.thermophilus,72.734
Q72GG8_TT_C1880,82.68115507324981,T.thermophilus,72.752
Q72IJ8_TT_C1134,78.38309660494815,T.thermophilus,72.86
Q72J51_ftsE,55.9457189829312,T.thermophilus,72.886
Q72J39_miaB,79.83988126762456,T.thermophilus,72.972
Q72KZ4_TT_C0271,76.85738568917309,T.thermophilus,73.132
Q72I11_rplP,61.570460118565165,T.thermophilus,73.157
Q72GI4_dcd,78.4256276081054,T.thermophilus,73.294
Q72I12_rpmC,72.78562297607837,T.thermophilus,73.338
Q72KT1_TT_C0411,81.37572792744095,T.thermophilus,73.343
Q72L15_clpP,70.89233065991696,T.thermophilus,73.347
Q72HM2_mreB,68.92843144936452,T.thermophilus,73.349
Q72IY3_TT_C0998,85.39776601360431,T.thermophilus,73.418
Q72HV0_plsX,78.53436230530805,T.thermophilus,73.469
Q72KC1_TT_C0526,73.8018361068003,T.thermophilus,73.486
Q72L74_plsY,75.10917942320381,T.thermophilus,73.558
Q745Z3_TT_P0162,81.67289804251777,T.thermophilus,73.594
Q72K96_TT_C0551,72.19426478641265,T.thermophilus,73.624
Q72I53_metK,54.43927556168762,T.thermophilus,73.648
Q72IN7_TT_C1095,80.97359158399763,T.thermophilus,73.667
Q72GJ7_phoU,75.3561778048772,T.thermophilus,73.693
Q72I54_TT_C1278,54.851162419042296,T.thermophilus,73.702
Q72JC6_TT_C0852,63.90281697834878,T.thermophilus,73.707
Q72K93_rnr,79.86235635189107,T.thermophilus,73.717
P62657_rpsO,71.5728546545874,T.thermophilus,73.801
Q72JC7_TT_C0851,49.82556790813691,T.thermophilus,73.932
Q72HG4_TT_C1523,79.2040120318538,T.thermophilus,74.007
P62668_rpsH,72.82951126674016,T.thermophilus,74.105
Q72LF7_appF,57.460024691645984,T.thermophilus,74.211
Q72KN4_TT_C0377,82.93087202195436,T.thermophilus,74.219
Q72JH7_TT_C0795,63.33234704417588,T.thermophilus,74.223
Q72HQ8_TT_C1428,65.45949999737103,T.thermophilus,74.253
Q72GX4_pstA,52.25884308590581,T.thermophilus,74.329
Q72J58_TT_C0921,74.51408470087853,T.thermophilus,74.333
Q72K85_mnmE,75.7269967351641,T.thermophilus,74.34
P61989_cbiD,71.53352924515413,T.thermophilus,74.514
